Student_ID,Exam_Score,Weight_Apple (g),Height (cm),Daily_Sales ($),Lifespan_Bulb (hrs)
197,61.16,155.45,171.38,4019.64,1088.89
198,71.54,170.61,179.96,5854.34,1028.03
199,70.58,175.83,151.24,5483.92,957.78
200,58.57,156.14,165.91,5204.32,1015.24
201,73.58,155.83,166.9,2874.58,1012.56
202,75.61,154.28,167.31,4969.68,1040.76
203,80.83,159.78,168.61,4807.04,956.33
204,80.54,151.1,181.58,4505.2,1063.32
205,56.22,149.99,175.39,5603.39,1000.26
206,60.62,173.93,177.66,5571.89,1041.97
207,75.15,180.32,170.38,5349.46,1015.48
208,75.14,119.85,158.81,5830.31,1006.13
209,75.15,150.2,153.36,4182.16,1011.69
210,108.53,136.23,157.76,4637.08,1033.6
211,75.71,143.78,172.88,5059.83,1097.93
212,81.36,158.05,170.25,4502.4,899.13
213,79.54,163.39,168.32,5581.74,1027
214,76.51,147.76,167.05,4582.24,1002.2
215,66.85,111.73,186.09,6038.7,991.14
216,77.59,130.7,163.42,4255.07,881.84
217,62.27,167.93,177.42,6705.59,1029.01
218,67.63,95.19,170.02,6623.44,993.75
219,65.15,173.75,169.51,4924.2,958.28
220,70.82,160.42,179.41,5916.94,1002.12
221,93.15,176.32,181.7,4679.66,985.36
222,51.33,146.03,168.08,5810.63,912.88
223,76.86,108.77,176.39,4859.22,1004.41
224,53.87,158.61,172.91,3971.65,1029
225,65.28,175.49,170.06,2173.75,972.54
226,80.89,168.49,171.63,4785.03,1013.09
227,70.64,136.75,164.5,5223.25,1005.41
228,59.22,151.74,167.55,6064.25,1052.27
229,62.85,139.34,165.35,5029.3,994.82
230,76.8,133.61,177.21,5802.33,1040.05
231,62.7,169.11,169.24,4636.85,984.33
232,72.16,126.05,159.62,4730.18,1098.37
233,70.46,132.12,164.21,5843.23,978.16
234,63.48,127.92,144.41,3028.26,965.75
235,91.44,120.2,166.04,5010.39,994.98
236,76.34,152.93,170.3,4680.03,963.6
237,49.75,173.23,168.91,6088.49,937.57
238,71.86,146.3,185.84,4577.4,1036.38
239,63.38,119.89,174.6,5413.27,846.87
240,78.52,166.8,174.24,5737.21,964.12
241,62.07,183.71,156.85,3805.92,932.91
242,68.85,137.08,167.08,4888.5,1007.11
243,75.05,140.43,166.11,4654.69,890.54
244,78.66,160.31,163.71,5757.03,1027.39
245,58,182.44,163.6,5540.07,1032.8
246,66.65,139.6,155.54,4813.44,918.37
247,65.25,123.35,159.79,4162.07,1009.53
248,63.47,162.63,176.99,5830.52,1025.8
249,87.65,165.98,168.86,4945.88,1047.02
250,74.05,150.12,165.95,3705.3,926.55
251,57.39,138.84,169.96,3774.1,919.52
252,79.18,169.89,179.34,5350.11,1075.13
253,91.22,160.56,170.03,3979.36,958.91
254,80.32,134.63,174.32,6487.72,973.63
255,54.81,150.98,163.23,4250.34,1031.65
256,65.16,122.97,165.05,4999.71,941.54
257,82.67,163.72,172.83,5127.29,986.71
258,62.92,144.76,185.14,4416.5,1044.59
259,74.44,141.29,181.44,3208.14,928.94
260,77.75,149.34,174.66,5152.72,975
261,60.73,150.81,171.21,4397.41,943.66
262,69.4,167.9,181.21,5093.23,961.3
263,37.59,161.82,176.36,4902.14,1059.28
264,59.76,146.87,151.65,5210.63,1070.25
265,67.47,165.27,161.57,6249.5,1012.89
266,57.52,158.01,172.71,4563.05,1026.61
267,86.32,141.47,155.7,4624.92,1025.24
268,55.7,147.51,162.82,3667.36,966.38
269,65.6,147.04,164.4,4843.85,1011.91
270,71.31,160.11,167.95,5327.9,935.23
271,84.41,142.66,167.7,4613.2,952.07
272,55.64,142.19,167.69,5333.14,995.66
273,81.63,189.38,176.6,4857.99,946.95
274,70.1,168.79,167.88,3958.19,936.36
275,60.18,134.79,166.92,5249.59,964.41
276,74.62,161.42,159.21,4835.33,1057.32
277,71.99,152.37,178.19,5098.21,1077.86
278,64,157.83,164.63,4546.44,998.37
279,70.7,152.75,161.3,4475.68,1029.11
280,66.15,173.79,171.7,5125.93,971.83
281,71.14,156.91,163.86,4815.52,896.72
282,76.62,148.76,165.79,6379.42,955.32
283,85.86,170.84,172.07,5638.98,984.58
284,57.62,154.67,167.39,5436,1007.05
285,91.33,152.43,188.49,4858.02,994.95
286,50.48,156.28,169.4,3379.18,985.92
287,68.48,148.13,174.94,4353.92,971.27
288,75.88,150.18,154.47,4482.17,1017.19
289,72.81,138.27,163.11,4780.01,931.81
290,63.77,134.98,161.3,4973.31,1040.1
291,67.92,130.03,162.36,5524.86,970.68
292,65.07,122.16,173.32,5218.52,1103.35
293,64.11,132.41,178.28,5927.36,984.23
294,78.5,146.51,172.76,4750.48,975.99
295,73.57,152.06,168.19,5205.73,971.87
296,63.07,144.57,164.95,5275.08,976.49
297,79,102.89,178.91,5196.58,1030.36
298,73.07,181.49,186.57,6025.51,997.89
299,78.13,171.73,171.08,5643.02,1049.35
300,76.3,158.92,177.51,3944.48,1023.22
301,61.71,188.15,172.75,4908.54,1001.57
302,64.4,130.45,176.04,4988.82,1018.65
303,77.47,187.75,160.68,6721.23,1059.82
304,76.1,130.7,166.09,4736.17,1032.83
305,69.79,154.77,173.16,4214.01,1014.03
306,71.17,124.52,179.7,5350.66,1021.14
307,82.78,150.29,163.45,5397.59,942.37
308,64.08,157.72,153.73,4940.98,1128.58
309,75.47,146.91,166.01,4823.79,1026.41
310,67.98,164.28,178.08,5759.12,1031.4
311,67.82,151.98,157.33,4317.12,998.57
312,80.99,139.55,160.58,4727.24,885.12
313,78.25,138.66,171.25,4582.28,986.73
314,78.14,166.22,169.07,5875.12,1003.8
315,83.05,136.93,174.76,5228.4,958.86
316,70.21,168.31,160.17,4148,958.42
317,76.82,174.45,167.4,4228.39,983.04
318,66.9,116.63,179.56,6498.73,1038.58
319,73.24,172.66,160.46,5866.57,1062.79
320,68.7,191.21,181.82,5673.24,1008.55
321,70.97,155.04,161.46,5009.8,971.63
322,75.95,161.98,176.8,6206.78,981.88
323,61.82,170.74,167.02,4117.28,1004.98
324,90.92,144.49,160.84,5602.37,1010.9
325,59.94,153.65,166.02,4645.38,1021.75
326,57.86,123.72,174.36,4800.89,978.03
327,81.58,152.77,169.95,5580.63,1026.46
328,77.92,159.96,178.95,4885.15,1022.51
329,76.24,160.32,181.49,4652.24,980.25
330,76.28,171.31,160.54,4603.87,914.03
331,69.88,134.5,159.95,3410.92,955.75
332,61.03,139.35,159.56,5610.56,1078.38
333,70.76,187.91,162.81,4194.7,915.32
334,63.23,146.99,178.83,6486.73,1065.88
335,79.75,154,174.48,4769.91,913.57
336,68.53,148.66,165.64,6047.55,961.34
337,61.75,133.57,169.91,3552.78,981.26
338,66.79,182.47,181.23,5585.19,1089.12
339,74.13,139.45,185.26,5790.84,1001.31
340,64.36,127.45,172.08,6042.85,989.3
341,61.78,140.99,148.73,3777.57,953.23
342,72.44,109.97,172.38,4437.83,1026.1
343,72.45,136.97,177.48,5461.21,974.36
344,64.93,130.64,171.8,5118.75,988.55
345,65.29,162.35,175.81,5234.69,982.08
346,72.32,136.53,172.86,4711.77,1035.99
347,55.52,167.76,160.12,6240.64,1038.09
348,55.93,177.97,162.91,7086.77,955.48
349,62.82,165.62,167.43,5083.18,968.64
350,67.87,145.69,178.52,5362.74,963.71
351,73.11,152.82,163.87,5044.99,1009.17
352,84.75,119.5,173.65,6027.24,1045.33
353,78.58,147.32,172.43,5663.29,1009.83
354,68.4,132.79,182.69,4146.9,890.47
355,69.81,163.89,169.67,4509.84,1037.99
356,59.97,201.46,155.96,4192.56,932.55
357,69.81,160,175.17,7155.86,964.24
358,67.11,110.18,187.1,5508.25,1009.92
359,73.23,142.78,175.7,4523.45,995.81
360,61.73,152.45,163.7,4459.56,1043.64
361,75.19,151.75,161.34,5644.19,969.46
362,85.33,135.38,162.38,5723.94,951.67
363,68.91,154.91,186.03,5638.49,984.42
364,74.02,125.15,167.38,4659.55,1048.85
365,76.9,131.1,164.7,5244.67,1031.48
366,65.99,162.92,168.73,5088.73,1004.36
367,72.24,129.69,167.46,4250.99,1066.3
368,70.13,160.76,182.54,4258.8,1057.24
369,70.98,122.61,161.88,5329.57,1039.42
370,62.27,185.3,179.45,5157.16,941.1
371,70.25,134.51,170.98,5442.68,1039.16
372,74.98,145.53,179.66,5632.82,989.88
373,84.51,156.61,182.66,6199.51,980.25
374,79.59,138.69,170.68,4379.28,965.87
375,91.53,152.87,167.48,5504.19,991.41
376,62.33,161.51,170.53,5599.36,968.71
377,78.72,169.21,169.24,4750.3,1008.49
378,71.83,165.83,156.74,5097.49,991.35
379,91.9,146.56,182.42,4770.75,1011.03
380,61.92,147.07,171.97,6686.87,1027.66
381,61.6,196.98,160.7,5083.88,985.28
382,64.01,169,153.46,5361.2,963.14
383,48.76,131.56,151.38,4788.81,899.68
384,64.74,152,176.16,4616.29,1038.53
385,62.41,143.3,165.05,3958.4,1003.94
386,71.5,147.29,166.36,5879.89,991.19
387,73.42,125.41,173.91,5614.75,1058.6
388,88.76,141.76,165.87,4759.12,935.57
389,79.5,186.23,174.37,4279.7,1002.81
390,64.23,161.58,170.76,5143.93,951.8
391,61.02,100.18,169.33,4601.84,1032.8
392,74.92,174.33,157.42,4822.37,888.69
393,56.8,171.79,163.44,3989.15,1040.2
394,88.31,142.81,174.82,5173.66,1038.13
395,81.79,164.35,164.54,5189.6,953.85
396,65.31,132.81,179.64,5875.78,1003.32
397,52.87,140.59,188.77,4879.41,954.92
398,83.54,179.97,175.25,4733.15,1021.38
399,68.85,144.57,181.94,3754.59,1041.01
400,82.38,112.61,175.77,5880.77,949.75
401,54.06,148.73,165.73,5714.26,935.16
402,64.01,148.43,171.6,5022.99,1054.82
403,70.05,173.97,186.11,3936.62,1097.06
404,70.47,150.29,165.81,4028.38,1024.72
405,65.5,141.57,161.69,4562.32,1028.42
406,76.23,170.9,160.93,5772.18,983.4
407,59.32,152.42,168.26,5232.27,1009
408,68.58,135,161.97,3805.31,1017.54
409,71.2,173.1,183.39,5323.37,990.87
410,75.14,153.87,171.73,4328.68,1067.49
411,77.12,150.06,177.77,4582.23,1008.84
412,58.75,153.56,167.61,5777.39,1015.28
413,54.66,128.59,160.88,5612.4,991.9
414,82.78,139.45,159.52,5874.48,996.98
415,73.32,150.07,162.74,4981.49,1060.94
416,62.52,146.11,172.78,5706.42,1007.3
417,85.51,175.45,174.16,4531.09,1008.46
418,71.16,154.35,174.83,4793.95,1009.11
419,81.79,167.1,158.09,4738.97,981.77
420,70.68,150.19,170,5019.09,929.6
421,90.61,171.13,161.79,3970.81,1078.63
422,87.55,157.95,173.21,4820,1053.41
423,67.51,150.27,173.83,6161.33,1062.45
424,79.72,149.73,160.62,4125.98,946.37
425,76.45,130.91,177.74,3936.54,1072.25
426,83.69,160.14,188.71,4001.05,1098.34
427,60.35,149.2,176.68,7129.49,1052.24
428,76.86,139.96,168.7,5371.88,1082.39
429,80.58,172.13,167.47,4783.79,1039.89
430,52.41,125,168.33,5054.66,957.67
431,58.17,141.55,163.91,5182.11,1025.38
432,49.61,170.55,172.02,4487.64,948.98
433,67.31,156.31,160.89,4586.23,970.13
434,77.18,149.04,154.88,4873.85,1015.81
435,85.02,155.02,171.76,4420.2,1009.1
436,70.74,153.59,170.17,4682.45,1023.15
437,86.29,119.67,165.43,5282.47,910.4
438,56.2,143.01,159.74,4202.28,992.29
439,52.97,182.33,172.32,7087.96,1027.45
440,69.44,136.81,162.08,5602.53,1037.42
441,73.84,143.63,168.89,3983.93,1040.69
442,69.67,139.17,184.12,3017.68,1012.56
443,49.33,148.26,175.21,4450,981.04
444,69.11,138.34,159.05,5547.49,1025.07
445,56.96,159.73,159.8,5392.38,985.01
446,76.7,153.95,171.21,4911.32,1045.05
447,73.67,165.47,159,4518.85,1021.37
448,60.6,128.98,153.99,4276.69,996.91
449,64.86,143.19,174.26,4677.93,961.55
450,59.41,145.49,172.57,4190.1,1055.97
451,69.37,159.11,173.6,4680.9,1027.95
452,79.55,134.14,172.1,6064.76,1105.15
453,60.14,168.31,169.48,4383.01,1026.31
454,75.04,173.73,164.7,5488.71,1030.5
455,64.7,130.22,174.13,5610.74,926.74
456,62.07,140.18,182.24,4136.32,1015.52
457,68.93,139.36,165.99,4325.3,984.17
458,59.65,202.65,161.83,5855.15,1041.32
459,64.46,141.4,160.92,4259.39,1016.73
460,58.02,183.55,163.07,4954.01,1049.26
461,89.65,124.67,171.62,6631.99,1106.63
462,70.35,130.21,152.88,5783.87,960.08
463,63,136.27,173.51,5068.18,1047.34
464,72.14,133.09,175.15,5672.58,1034.18
465,68.88,144.64,155.62,4955.26,1098.96
466,67.79,135.82,162.17,5814.59,1035.27
467,76.14,133.61,170.64,3362.99,1030.07
468,77.58,173.17,168.85,4888.59,1042.57
469,64.69,174.48,174.16,3330.93,1046.06
470,64.24,168.99,168.87,5129.08,1072.72
471,67.25,160.48,180.12,4811.06,959.03
472,46.98,151.85,167.43,6088.58,980.38
473,54.85,140.06,162.14,5569.46,1086.76
474,83.67,130.94,161.49,4579.13,902.06
475,86.45,157.26,175.88,4675.03,995.76
476,67.51,126.53,170.24,5304.56,1007.48
477,75.77,130.12,175.07,4541.95,991.15
478,73.11,173.06,174.9,4974.1,1079.05
479,100.79,188.01,153.84,6053.36,1023.8
480,81.2,157.87,160.88,4336.7,980.63
481,68.72,172.13,161.83,4641.86,968.28
482,60.44,145.08,163.47,4754.05,1014.09
483,53.94,123.25,166.64,7526.46,1058.3
484,72.03,162.24,177.99,5486.59,1006.92
485,62.44,161.39,179.59,5905.65,993.28
486,55.78,151.43,167.66,5614.5,965.24
487,63.53,145.15,167.99,5668.32,1018.7
488,59.18,169.24,164.36,5378.86,1015.93
489,86.87,130.29,170.71,5292.22,963.79
490,78.82,134.52,171.62,3839.4,1051.32
491,69.92,129.84,176.45,5286.29,1085.3
492,84.8,151.7,176.39,4913.33,1002.45
493,70.77,128.24,151.58,5436.37,1015.11
494,61.39,136.32,168.78,4943.31,944.75
495,85.23,135.88,181.07,5610.53,1036.86
496,75.39,144.79,166.5,5751.95,1023.21
497,59.63,120.25,179.11,2670.27,983.69
498,68.1,151.74,167.55,4652.89,962.83
499,61.24,174.95,171.4,3514.09,1092.38
500,56.17,152.71,160.9,5191.16,1019.14
501,79.26,180.83,161.21,4759.43,954.12
502,89.09,176.68,175.8,6084.66,1042.78
503,56.01,165.55,177.05,5165.8,1011.48
504,75.63,151.49,170.21,4611.58,1002.94
505,63.49,150.45,160.18,5750.86,1048.93
506,65.13,165.28,170.35,4745.44,869.36
507,64.08,142.17,180.06,4601.6,909.65
508,61.36,112.35,183.94,5314.9,1068.96
509,70.49,159.84,167.47,6290.38,993.55
510,61.69,127.38,156.72,5682.84,978.66
511,72.7,130.76,176.72,5453.54,933.11
512,69.5,150,167.79,7200.76,1009.69
513,67.61,148.1,177.54,4414.07,1015.86
514,60.92,121.76,172.25,4396.23,1072.04
515,64.23,153.31,162.93,5116.46,1018.62
516,77.55,169.32,170.47,6212.02,984.86
517,75.01,127.43,180.47,4246.65,1020.28
518,60.22,175.45,168.81,6403.66,1055.47
519,70.99,118.8,161.72,3848.7,1044.56
520,77.51,192.35,157.29,4903.03,1031.07
521,53.31,141.77,163.82,5138.77,1013.73
522,75.43,152.91,166.72,4293.89,970.93
523,63.37,112.16,176.56,4503.01,948.36
524,75.71,148.76,161.03,5637.3,940.45
525,62.37,154.57,182.43,6153.24,1019.7
526,51.95,148.28,159.3,3308.31,1024.91
527,53.72,138.74,188.65,5144.19,1054.72
528,70.48,131.07,183.8,4909.35,1028.09
529,72.6,172.61,171.13,5085.92,1052.54
530,60.96,150.62,156.82,4746.59,993.47
531,76.39,180.82,169.56,3967.61,1038.54
532,53.38,139.47,166.91,6233.84,949.93
533,69.34,141.3,159.81,5927.46,996.99
534,57.89,166.31,172.33,4916.81,908.43
535,63.48,117.54,163.41,4609.35,1001.58
536,70.47,125.73,164.28,4512.45,1061.24
537,61.4,171.95,168.37,2931.48,1003.51
538,66.15,126.56,165.4,5283.06,1036.09
539,80.06,113.62,186.63,5624.26,1013.66
540,64.23,187.37,165.71,5110.32,971.48
541,78.36,122.12,173.53,4930.93,990.67
542,58.7,153.68,171.16,5106.71,1058.98
543,75.3,151.38,172.82,4317.42,1035.83
544,84.42,93.79,173.43,4600.36,969.12
545,45.28,144.65,177.05,4866.93,930.63
546,62.03,158.97,172.13,5557.34,1010.34
547,75.77,157.09,171.8,6103.09,970.91
548,67.97,168.07,170.47,4816.68,991.13
549,73.71,142.25,168.89,4164.17,927.28
550,63.96,164.25,162.71,5028.52,1052.04
551,70.87,136.21,169.51,6609.19,995.15
552,68.44,121.79,171.93,4233.75,1002.73
553,81.68,124.05,173.22,5708.67,958.35
554,72.54,120.76,171.44,6068.77,986.13
555,73.38,170.19,168.14,4711.99,1006.12
556,65.88,119.71,169.54,4439.42,969.34
557,65.12,155.48,165.57,5459.97,989.21
558,65.67,144.68,172.51,5282.57,1069.31
559,73.94,147.95,168.23,5555.82,912.5
560,65.79,177.27,171.44,6658.97,1009.23
561,72.9,141.23,178.01,5133.64,960.73
562,90.75,162.23,164.33,4046.22,1066.82
563,78.71,150.75,174.77,5053.31,990.96
564,66.74,146.96,170.27,5193.25,947.64
565,82.01,196,186.17,6013.73,989.22
566,65.92,121.17,168.27,4842.59,1017.48
567,49.62,175.78,175.56,4672.75,1138.78
568,59.92,163.13,170.12,3903.04,894.51
569,51.29,140.41,158.89,5437.93,940.04
570,66.48,182.59,165.83,7678.57,1065.26
571,70.18,113.04,177.04,4821.93,924.55
572,86.76,139.56,166.54,5361.56,1000.48
573,73.27,125.83,152.24,4561.73,975.83
574,67.81,158.24,169.75,3974.97,967.98
575,78.29,127.74,161.26,5347.39,991.39
576,47.89,158.66,171.05,5022.55,983.37
577,72.36,146.27,182.41,3091.56,1052.85
578,77.71,140.41,176.16,6288.02,1066.41
579,55.21,157.77,182.29,5332.77,1021.32
580,81.44,144.63,165.51,5059.12,988.2
581,73.38,128.23,168.85,4662.42,1012.92
582,65.85,206.03,161.64,5324.24,1040.25
583,76.33,140.26,164.53,5361.12,1050.08
584,92.71,105.65,162.58,5321.06,1018.5
585,71.82,133.16,159.55,5854.39,1076.38
586,72.48,124.65,180.93,6036.22,969.17
587,65.41,166.52,153.26,6604.47,1057
588,61.5,156.43,180.96,4330.53,1035.22
589,78.3,157.97,179.97,4541.26,969.5
590,61.44,142.6,174,5288.95,1011.63
591,70.72,144.41,161.08,4376.73,1015.07
592,65.22,142.58,157.34,4505.59,992.9
